Node_ID,Timestamp,X_Coordinate,Y_Coordinate,Z_Coordinate,Initial_Energy,Residual_Energy,Transmission_Power,Signal_Strength,Noise_Level,Energy_Consumption,Packet_Loss_Rate,Network_Lifetime,Optimization_Algorithm,Adaptive_Learning_Rate,Temperature,Humidity,Detection_Accuracy
1,2024-01-01 00:00:00,37.454011884736246,37.36408184666985,36.49991554949852,11.38144568372174,2.989120412044165,2.1333677864714073,-45.506687812944286,21.279833070067006,1.645420682311062,17.543183152413718,311.35056953796544,1,0.01836784237971519,-3.852749995870658,73.2572689664679,87.51471251639104
2,2024-01-01 00:01:00,95.07143064099162,33.291209623140325,9.225599779935578,9.59292453534193,0.9481777516205803,1.286840904926489,-37.133887494220986,44.855138590297614,0.33327603664890804,18.143448802359202,287.1372423037543,0,0.041138481245495795,40.15368015808129,20.164291279885074,77.11668092406653
3,2024-01-01 00:02:00,73.1993941811405,17.615391250286006,17.331984718494308,14.644985248639408,1.2635922497221597,0.569117465517246,-62.20920747725994,27.47922746778223,1.8956044008452668,7.567446435108809,207.96662732150065,1,0.00253700978511477,-3.9493723919661514,39.46934323062404,82.31439026421334
4,2024-01-01 00:03:00,59.86584841970366,60.726667010148795,33.164031842890914,7.189784509842382,1.806711281809218,1.8679402878642224,-72.64927609959554,28.51812093067607,1.6942870247307547,4.632614447022581,271.9456960532496,0,0.037324062296110516,15.161823200938468,45.53231273095834,74.91470850087806
5,2024-01-01 00:04:00,15.601864044243651,47.66241605086289,24.104467226223996,10.878564159989406,2.0365333436494835,1.1048275256399098,-70.8692055386723,26.787358350465965,1.8417639315550047,3.8332210171485603,214.29348595214466,1,0.001677869543787676,15.395084465914369,54.32537111173698,80.78995138712575
6,2024-01-01 00:05:00,15.599452033620265,86.57009923240037,36.92855193174469,12.002100149902226,2.4226180921054405,1.5271059602859933,-48.183104498136366,45.20251865665886,0.6070065934778399,17.63906191388879,346.06910096516856,0,0.04818157228900204,30.05131256313868,16.03430683889212,74.80262350337507
7,2024-01-01 00:06:00,5.8083612168199465,3.2109580482058253,48.060395061142984,13.255644893453816,2.5546002896349442,0.3574366964174531,-55.94651796051023,49.367059862189066,0.7043613813355861,4.624450450409878,425.76334279718503,0,0.0029868765018580576,27.383218179536946,41.64112076689496,72.00057844924123
8,2024-01-01 00:07:00,86.61761457749351,64.38679275551263,5.827334385759874,9.069710304280072,4.55716345487536,1.6158015748383814,-60.810352141364575,42.65559952790106,0.9663545973612075,10.616780936050354,404.1024965788936,0,0.03995510069297169,23.90600902858317,34.94707527949928,73.04124971335676
9,2024-01-01 00:08:00,60.11150117432088,76.29488785115612,35.478385819903046,11.869219076574815,5.0957319082604124,0.9965211734682984,-77.83355527342955,44.707335814075705,0.48719129982563447,6.6347856615725975,203.31159051739687,1,0.03528076882948639,25.010102316262184,46.95389840928799,74.02108820109137
10,2024-01-01 00:09:00,70.80725777960456,75.94865691883071,11.517207781605727,8.032014713842827,3.088792081263559,0.9020553993243867,-37.4726587500658,38.61501381558013,0.9575740485870325,9.978708766196348,279.2387722320733,0,0.0431768083659509,31.82717229946843,68.38910300659742,78.9209641053128
